convent monastery
spokeswoman spokesman
Mom Dad
Women Men
councilwoman councilman
grandma grandpa
granddaughters grandsons
estrogen testosterone
aunt uncle
husbands wives
Mother Father
Grandma Grandpa
She He
girl boy
girls boys
sister brother
sisters brothers
businesswoman businessman
chairwoman chairman
filly colt
congresswoman congressman
mom dad
moms dads
gals dudes
girlfriend boyfriend
mother father
motherhood fatherhood
mothers fathers
granny fella
sorority fraternity
mare gelding
lady gentleman
ladies gentlemen
grandmother grandfather
granddaughter grandson
she he
herself himself
her his
queen king
queens kings
female male
females males
woman man
women men
niece nephew
princess prince
schoolgirl schoolboy
daughter son
daughters sons
